Maze Type, Resolution, Solving Time, Short Corridors, Medium Corridors, Long Corridors, Seed
RecursiveDivision,32x32,2,094269,328,243,5,69972469
RecursiveDivision,32x32,0,5893707,346,231,2,41640285
RecursiveDivision,32x32,2,185822,335,246,3,714187597
RecursiveDivision,32x32,1,984596,370,241,2,54545341
RecursiveDivision,32x32,1,041412,310,276,0,143812965
RecursiveDivision,32x32,0,3213882,323,255,1,483264881
RecursiveDivision,32x32,0,2613068,353,248,2,457456325
RecursiveDivision,32x32,0,6122589,321,248,2,111012188
RecursiveDivision,32x32,2,715111,304,260,3,723381642
RecursiveDivision,32x32,2,687454,377,225,2,152331475
RecursiveDivision,32x32,0,6380081,323,249,4,130891045
RecursiveDivision,32x32,6,649017,357,250,0,291058288
RecursiveDivision,32x32,2,414703,324,245,5,285883802
RecursiveDivision,32x32,3,596306,391,221,2,340316853
RecursiveDivision,32x32,2,719879,339,237,4,719631005
RecursiveDivision,32x32,0,3986359,299,256,3,549314952
RecursiveDivision,32x32,1,907349,349,245,3,911181605
RecursiveDivision,32x32,2,476692,358,234,5,897895350
RecursiveDivision,32x32,0,2975464,344,243,2,785068893
RecursiveDivision,32x32,2,441406,303,265,2,736254629
RecursiveDivision,32x32,0,9231567,346,242,1,251447057
RecursiveDivision,32x32,2,643585,332,252,0,456613035
RecursiveDivision,32x32,6,25515,309,254,2,758972993
RecursiveDivision,32x32,2,31266,337,245,3,918317006
RecursiveDivision,32x32,0,3700256,303,265,1,379902741
RecursiveDivision,32x32,1,776695,347,240,0,985984102
RecursiveDivision,32x32,1,092911,331,251,2,994931788
RecursiveDivision,32x32,2,39563,333,253,2,993256787
RecursiveDivision,32x32,0,8430481,378,234,1,226659088
RecursiveDivision,32x32,2,356529,333,245,4,769195315
RecursiveDivision,32x32,2,358437,347,246,2,893256254
RecursiveDivision,32x32,0,6332397,333,244,1,198297234
RecursiveDivision,32x32,0,7896423,304,248,7,731818456
RecursiveDivision,32x32,0,369072,329,241,4,241252062
RecursiveDivision,32x32,0,5540848,328,248,2,993214492
RecursiveDivision,32x32,0,1945496,307,254,3,376420740
RecursiveDivision,32x32,2,697945,318,233,7,101842808
RecursiveDivision,32x32,0,418663,356,242,2,841251146
RecursiveDivision,32x32,2,570152,342,250,2,524839005
RecursiveDivision,32x32,2,753258,322,260,1,288100538
RecursiveDivision,32x32,4,932404,328,231,5,905702873
RecursiveDivision,32x32,2,372742,355,241,4,621102601
RecursiveDivision,32x32,0,5254745,398,220,2,871534374
RecursiveDivision,32x32,2,16198,304,250,4,483346148
RecursiveDivision,32x32,0,3433228,330,246,2,737103944
